,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2026-04-12,19:35:30.526, 7249.98,  464.88, 3069.55,  213.36, 3070.14,  211.77, 3068.99,  208.38,16458.66, 1098.39,    134364,17557.05, 3160.26,  231.58, 3143.46,  231.17, 3144.09,  229.32, 3138.54,  225.91,12586.35,  917.98,    135389,13504.33,  29045.02,   2016.37,  31061.39
2026-04-12,19:35:31.526, 6614.03,  449.35, 2842.96,  207.73, 2845.14,  206.11, 2841.53,  202.75,15143.66, 1065.93,    133975,16209.59, 2984.53,  238.07, 2953.65,  234.06, 2956.04,  232.55, 2947.73,  228.59,11841.95,  933.27,    135172,12775.23,  26985.61,   1999.21,  28984.82
2026-04-12,19:35:32.526, 6746.40,  490.39, 2932.37,  223.10, 2943.69,  222.35, 2935.21,  218.35,15557.67, 1154.19,    134118,16711.86, 3534.90,  258.18, 3489.06,  250.17, 3494.85,  249.86, 3484.83,  245.17,14003.64, 1003.38,    136772,15007.02,  29561.31,   2157.57,  31718.88
2026-04-12,19:35:33.527, 6759.32,  485.59, 2927.77,  224.24, 2931.35,  222.51, 2928.17,  219.30,15546.61, 1151.64,    133997,16698.26, 3526.41,  246.68, 3508.47,  246.32, 3511.37,  244.81, 3506.68,  241.05,14052.92,  978.86,    136941,15031.79,  29599.54,   2130.51,  31730.04
2026-04-12,19:35:34.527, 6556.34,  473.43, 2832.80,  216.03, 2834.20,  214.45, 2831.78,  211.07,15055.12, 1114.96,    133564,16170.09, 3404.81,  239.91, 3387.23,  239.66, 3390.24,  237.98, 3386.07,  234.56,13568.34,  952.11,    136508,14520.45,  28623.46,   2067.07,  30690.54
2026-04-12,19:35:35.528, 6527.51,  482.09, 2814.90,  219.47, 2817.65,  217.90, 2814.10,  214.45,14974.16, 1133.92,    133758,16108.08, 3370.00,  245.24, 3353.77,  244.80, 3355.62,  243.11, 3352.10,  239.47,13431.49,  972.62,    136166,14404.11,  28405.64,   2106.54,  30512.18
2026-04-12,19:35:36.528, 6757.68,  483.06, 2934.64,  220.72, 2937.37,  219.28, 2934.21,  215.78,15563.89, 1138.84,    134073,16702.73, 3517.94,  245.72, 3500.72,  245.58, 3502.82,  243.68, 3499.79,  240.18,14021.28,  975.17,    136665,14996.44,  29585.17,   2114.00,  31699.17
2026-04-12,19:35:37.529, 7055.17,  495.16, 3089.93,  225.71, 3092.54,  224.00, 3089.66,  220.75,16327.29, 1165.62,    134648,17492.91, 3653.08,  253.05, 3634.71,  252.51, 3637.22,  250.59, 3634.18,  247.36,14559.19, 1003.52,    137564,15562.71,  30886.48,   2169.14,  33055.62
2026-04-12,19:35:38.529, 7013.16,  493.45, 3077.97,  223.83, 3079.27,  221.85, 3076.88,  218.76,16247.27, 1157.90,    134446,17405.17, 3650.58,  251.39, 3634.00,  251.11, 3636.46,  249.48, 3633.41,  246.21,14554.45,  998.19,    137466,15552.64,  30801.72,   2156.09,  32957.81
2026-04-12,19:35:39.530, 6895.00,  492.27, 3028.77,  222.89, 3031.82,  221.04, 3028.66,  217.81,15984.25, 1154.01,    134361,17138.25, 3548.04,  251.06, 3531.85,  250.91, 3535.24,  249.43, 3530.88,  245.82,14146.01,  997.23,    137120,15143.24,  30130.26,   2151.24,  32281.49
2026-04-12,19:35:40.530, 6741.23,  498.56, 2954.07,  224.74, 2955.58,  223.20, 2953.11,  220.11,15603.98, 1166.61,    133985,16770.59, 3481.33,  252.42, 3464.57,  252.19, 3467.41,  250.46, 3463.62,  246.88,13876.92, 1001.95,    137007,14878.88,  29480.91,   2168.56,  31649.47
2026-04-12,19:35:41.530, 6913.69,  504.82, 3047.02,  228.19, 3049.30,  226.65, 3046.14,  223.70,16056.15, 1183.36,    134510,17239.51, 3572.06,  257.26, 3555.67,  257.00, 3557.32,  255.30, 3553.99,  251.69,14239.03, 1021.26,    137174,15260.29,  30295.18,   2204.62,  32499.80
2026-04-12,19:35:42.530, 6851.99,  508.47, 3043.70,  229.46, 3044.65,  228.09, 3041.80,  224.83,15982.13, 1190.85,    134422,17172.98, 3561.80,  256.43, 3544.61,  256.24, 3547.53,  254.60, 3543.74,  251.32,14197.69, 1018.60,    137078,15216.28,  30179.81,   2209.45,  32389.26
2026-04-12,19:35:43.531, 6412.11,  494.39, 2864.65,  223.92, 2865.42,  222.12, 2862.76,  218.94,15004.93, 1159.37,    134050,16164.30, 3337.92,  247.08, 3321.36,  246.89, 3323.47,  245.28, 3320.49,  241.83,13303.25,  981.08,    133512,14284.33,  28308.18,   2140.45,  30448.63
2026-04-12,19:35:44.531, 6872.93,  506.43, 3081.10,  228.16, 3082.42,  226.53, 3079.27,  223.25,16115.71, 1184.38,    134585,17300.09, 3555.47,  256.96, 3539.81,  256.74, 3541.56,  255.07, 3538.56,  251.59,14175.41, 1020.35,    137196,15195.76,  30291.12,   2204.73,  32495.85
2026-04-12,19:35:45.531, 6865.66,  513.81, 3093.46,  231.29, 3094.30,  229.67, 3091.13,  226.59,16144.56, 1201.36,    134576,17345.92, 3564.13,  260.43, 3545.93,  259.90, 3549.63,  258.16, 3546.01,  254.87,14205.70, 1033.37,    137282,15239.07,  30350.26,   2234.73,  32584.99
2026-04-12,19:35:46.531, 5062.44,  392.81, 2286.02,  176.10, 2286.10,  174.97, 2284.43,  172.61,11919.00,  916.49,    101900,12835.48, 2622.97,  240.38, 2602.46,  235.83, 2604.20,  234.31, 2601.70,  231.10,10431.32,  941.61,    132003,11372.94,  22350.32,   1858.10,  24208.42
2026-04-12,19:35:47.532, 5245.08,  407.26, 2385.87,  186.00, 2386.15,  184.38, 2383.11,  181.27,12400.21,  958.92,    132231,13359.12, 2786.83,  221.11, 2766.45,  218.62, 2768.69,  217.03, 2765.24,  213.53,11087.22,  870.30,    134031,11957.52,  23487.43,   1829.21,  25316.64
2026-04-12,19:35:48.532, 6582.20,  504.67, 3000.01,  227.81, 2999.93,  225.80, 2997.93,  222.62,15580.07, 1180.91,    134119,16760.98, 3507.41,  269.37, 3488.53,  267.73, 3489.53,  266.05, 3486.65,  262.59,13972.12, 1065.75,    137105,15037.87,  29552.19,   2246.65,  31798.85
2026-04-12,19:35:49.533, 6856.42,  508.54, 3140.94,  232.93, 3142.05,  231.31, 3139.18,  228.01,16278.60, 1200.78,    134879,17479.38, 3640.99,  283.27, 3619.10,  281.85, 3621.22,  280.29, 3618.37,  277.01,14499.68, 1122.41,    137718,15622.09,  30778.27,   2323.19,  33101.46
2026-04-12,19:35:50.533, 6794.40,  387.27, 3142.50,  180.87, 3143.00,  179.28, 3139.64,  175.78,16219.53,  923.21,    134702,17142.74, 3776.22,  351.02, 3755.33,  349.69, 3757.81,  348.04, 3754.40,  344.74,15043.76, 1393.48,    138759,16437.24,  31263.29,   2316.69,  33579.98
2026-04-12,19:35:51.532, 5779.55,  335.31, 2689.24,  148.83, 2689.33,  147.39, 2685.67,  143.75,13843.79,  775.27,    133138,14619.06, 4155.19,  391.92, 4102.44,  382.96, 4107.87,  381.96, 4101.33,  378.01,16466.84, 1534.85,    141257,18001.68,  30310.62,   2310.12,  32620.75
2026-04-12,19:35:52.533, 5570.07,  333.56, 2585.20,  149.13, 2584.51,  147.59, 2582.54,  144.30,13322.31,  774.58,    132893,14096.89, 4405.26,  386.39, 4372.27,  382.55, 4377.72,  381.51, 4372.67,  377.67,17527.91, 1528.11,    142804,19056.02,  30850.22,   2302.69,  33152.91
2026-04-12,19:35:53.533, 5419.96,  331.86, 2489.40,  150.04, 2489.50,  148.32, 2486.94,  145.14,12885.81,  775.37,    132400,13661.18, 4608.67,  382.39, 4589.15,  382.04, 4593.05,  380.31, 4590.19,  376.78,18381.06, 1521.51,    143625,19902.58,  31266.87,   2296.88,  33563.75
2026-04-12,19:35:54.534, 5446.23,  332.26, 2502.65,  148.80, 2502.98,  147.34, 2501.14,  144.03,12953.01,  772.42,    132566,13725.43, 4563.52,  383.84, 4545.03,  383.69, 4548.43,  382.10, 4547.01,  378.71,18204.00, 1528.33,    143413,19732.33,  31157.01,   2300.75,  33457.76
2026-04-12,19:35:55.534, 5456.13,  337.25, 2506.84,  149.74, 2507.69,  148.67, 2504.69,  145.09,12975.36,  780.75,    132447,13756.11, 4599.45,  388.55, 4581.36,  388.56, 4585.37,  387.07, 4583.74,  383.58,18349.92, 1547.76,    143532,19897.68,  31325.28,   2328.51,  33653.79
2026-04-12,19:35:56.534, 5445.13,  335.68, 2506.36,  149.14, 2506.07,  147.62, 2503.83,  144.21,12961.39,  776.65,    132468,13738.04, 4555.96,  386.19, 4537.79,  386.46, 4542.00,  384.29, 4539.46,  381.18,18175.20, 1538.13,    143289,19713.33,  31136.59,   2314.78,  33451.37
2026-04-12,19:35:57.533, 5462.65,  338.23, 2511.03,  149.89, 2510.45,  148.40, 2508.06,  145.11,12992.19,  781.63,    132586,13773.82, 4576.41,  394.75, 4557.48,  394.45, 4560.63,  392.44, 4559.34,  389.21,18253.86, 1570.85,    143761,19824.72,  31246.05,   2352.49,  33598.54
2026-04-12,19:35:58.533, 5572.68,  340.92, 2559.49,  149.87, 2560.05,  148.38, 2556.81,  144.96,13249.03,  784.14,    132596,14033.17, 4627.19,  397.55, 4608.81,  397.47, 4612.95,  395.71, 4611.08,  392.65,18460.04, 1583.38,    143767,20043.42,  31709.07,   2367.52,  34076.59
